0; 642 41; 690 40; 691 77; 643 78
1; 964 112; 1017 100; 1024 132; 971 144
2; 264 173; 270 124; 302 127; 296 177
3; 157 189; 163 143; 196 147; 189 194
4; 376 149; 406 149; 406 197; 376 197
5; 28 165; 53 165; 53 195; 28 195
6; 53 168; 72 168; 72 196; 53 196
7; 837 206; 846 160; 877 166; 868 212
8; 198 184; 237 160; 253 187; 214 211
9; 945 212; 972 166; 1004 185; 976 231
10; 152 211; 199 184; 220 219; 173 247
11; 205 228; 236 224; 241 260; 210 264
12; 231 229; 269 219; 277 251; 238 260
13; 926 252; 960 210; 985 230; 950 272
14; 178 234; 211 231; 214 268; 181 271
15; 434 276; 464 260; 489 306; 459 322
16; 986 299; 1023 299; 1023 334; 986 334
17; 109 390; 133 344; 162 359; 138 406
18; 403 421; 449 412; 456 447; 410 456
19; 309 461; 343 461; 343 507; 309 507
20; 353 478; 387 469; 401 522; 367 531
21; 143 495; 191 479; 202 514; 155 529
22; 754 528; 798 528; 798 563; 754 563
23; 360 528; 392 528; 392 576; 360 576
24; 797 535; 839 535; 839 580; 797 580
25; 951 575; 958 526; 990 530; 983 580
26; 613 756; 628 708; 663 720; 647 767
27; 391 732; 424 728; 431 780; 398 784
28; 367 803; 411 778; 431 814; 388 839
29; 312 796; 361 796; 361 829; 312 829
30; 414 819; 439 819; 439 840; 414 840
31; 161 841; 212 837; 215 870; 164 874
32; 813 882; 835 830; 865 843; 844 895
33; 650 877; 699 877; 699 910; 650 910
34; 135 927; 149 880; 181 890; 167 937
35; 820 969; 823 932; 871 937; 868 973
36; 633 1015; 641 965; 674 971; 665 1021
37; 785 990; 830 964; 847 993; 801 1019
38; 89 1001; 120 1001; 120 1024; 89 1024
39; 169 989; 203 989; 203 1025; 169 1025
