0; 445 51; 461 -2; 494 8; 478 61
1; 38 66; 67 66; 67 79; 38 79
2; 730 120; 764 112; 775 157; 741 165
3; 167 189; 215 173; 226 205; 179 222
4; 848 186; 881 186; 881 240; 848 240
5; 98 261; 123 261; 123 292; 98 292
6; 813 255; 848 249; 857 301; 822 308
7; 375 267; 404 252; 428 298; 399 313
8; 120 263; 142 263; 142 293; 120 293
9; 945 326; 950 271; 983 274; 978 329
10; 927 274; 938 255; 960 267; 949 286
11; 595 362; 609 307; 639 315; 626 370
12; 18 331; 48 316; 71 362; 41 376
13; 181 335; 232 326; 237 357; 187 366
14; 143 344; 185 344; 185 375; 143 375
15; 563 375; 612 355; 625 386; 576 406
16; 543 377; 575 377; 575 425; 543 425
17; 119 442; 120 407; 181 409; 180 443
18; 179 422; 227 422; 227 453; 179 453
19; 128 461; 178 451; 185 484; 135 494
20; 749 466; 792 466; 792 501; 749 501
21; 231 543; 267 507; 291 530; 255 566
22; 393 624; 441 622; 443 654; 395 657
23; 716 688; 722 643; 760 648; 754 693
24; 61 679; 88 665; 111 709; 83 723
25; 756 671; 787 671; 787 721; 756 721
26; 112 681; 160 677; 163 709; 114 713
27; 28 735; 47 705; 86 730; 68 759
28; 95 732; 143 716; 153 747; 105 763
29; 975 729; 1017 721; 1027 765; 985 774
30; 649 754; 698 754; 698 788; 649 788
31; 888 789; 939 789; 939 822; 888 822
32; 706 891; 719 845; 752 854; 739 900
33; 629 870; 678 870; 678 905; 629 905
34; 876 890; 910 885; 917 935; 883 939
35; 956 899; 1005 899; 1005 931; 956 931
36; 196 924; 217 876; 248 889; 227 937
37; -11 952; 10 924; 49 953; 28 981
38; 1003 964; 1024 964; 1024 995; 1003 995
39; 276 1002; 326 1002; 326 1024; 276 1024
