0; 544 -1; 578 -1; 578 24; 544 24
1; 302 129; 334 113; 356 157; 324 173
2; 129 148; 154 123; 189 158; 164 183
3; 83 145; 111 124; 142 166; 115 187
4; 349 156; 383 156; 383 200; 349 200
5; 713 213; 742 196; 769 243; 739 260
6; 845 254; 866 207; 895 220; 874 267
7; 273 236; 322 234; 323 272; 275 274
8; 73 231; 106 231; 106 282; 73 282
9; 290 313; 306 269; 340 281; 324 325
10; -1 269; 35 269; 35 320; -1 320
11; 135 310; 152 279; 195 303; 179 334
12; 615 353; 620 304; 654 307; 649 356
13; -16 340; 9 314; 48 351; 22 378
14; 721 380; 767 369; 775 403; 730 414
15; 828 417; 832 383; 879 388; 875 422
16; 291 402; 339 392; 346 427; 298 437
17; 680 418; 706 391; 744 427; 718 454
18; 94 434; 109 400; 156 421; 140 455
19; 453 477; 456 420; 497 423; 493 479
20; 832 480; 846 431; 881 441; 867 490
21; 614 472; 648 455; 670 499; 636 516
22; 464 523; 473 477; 507 483; 498 529
23; 998 486; 1027 486; 1027 540; 998 540
24; 745 548; 757 503; 791 511; 779 557
25; 235 545; 260 520; 296 556; 271 581
26; -8 542; 19 522; 47 561; 20 580
27; 866 583; 886 538; 918 552; 898 597
28; 611 603; 616 554; 650 558; 645 607
29; 910 602; 916 554; 951 559; 945 606
30; 33 596; 60 573; 95 615; 68 638
31; 817 652; 819 619; 867 621; 865 655
32; 676 710; 678 661; 712 662; 711 711
33; 799 692; 822 666; 858 700; 835 725
34; 50 710; 82 694; 106 740; 74 756
35; 436 796; 436 755; 479 755; 479 796
36; 454 716; 486 715; 488 768; 456 769
37; 918 762; 965 762; 965 799; 918 799
38; 924 799; 970 799; 970 833; 924 833
39; 193 798; 240 798; 240 831; 193 831
40; 318 892; 340 864; 381 896; 359 924
41; 148 907; 185 907; 185 953; 148 953
42; 184 967; 186 935; 236 938; 234 970
43; 903 948; 926 925; 964 961; 942 984
44; 108 966; 135 939; 172 975; 144 1003
45; 547 986; 567 940; 602 956; 582 1001
46; 629 981; 659 963; 688 1009; 658 1028
47; 574 1000; 595 970; 638 1000; 617 1030
48; 459 997; 493 997; 493 1025; 459 1025
49; 769 1001; 814 1001; 814 1024; 769 1024
50; 987 991; 1024 991; 1024 1024; 987 1024
