0; 723 3; 681 3; 702 39
1; 959 37; 996 23; 966 -2
2; 344 21; 304 15; 319 53
3; 106 59; 66 54; 81 91
4; 242 57; 202 54; 220 90
5; 729 96; 689 96; 709 130
6; 728 130; 769 134; 753 97
7; 410 173; 450 166; 425 135
8; 48 180; 30 145; 9 178
9; 844 182; 882 189; 869 152
10; 721 174; 745 204; 759 169
11; 465 204; 503 211; 491 174
12; 482 189; 466 159; 447 187
13; 411 211; 450 220; 439 182
14; 580 205; 601 238; 619 203
15; 237 200; 233 241; 271 223
16; 335 220; 295 222; 317 255
17; 906 236; 930 268; 946 232
18; 115 261; 153 265; 137 230
19; 982 255; 946 241; 951 280
20; 642 269; 680 280; 671 241
21; 804 275; 843 278; 826 242
22; 211 276; 250 278; 233 243
23; 213 265; 175 257; 186 294
24; 315 287; 355 285; 333 251
25; 148 276; 109 277; 129 310
26; 615 301; 654 309; 641 271
27; 95 275; 77 311; 117 308
28; 137 310; 175 319; 163 281
29; 579 320; 619 322; 601 287
30; 8 300; 29 334; 47 299
31; 151 335; 119 310; 113 350
32; 45 338; 74 366; 83 327
33; 286 361; 265 326; 246 361
34; 55 365; 15 367; 37 401
35; 116 390; 155 394; 139 358
36; 256 390; 218 382; 230 419
37; 98 387; 70 413; 107 424
38; 160 399; 178 434; 199 401
39; 892 424; 856 410; 861 448
40; 855 419; 815 418; 834 453
41; 968 442; 1008 440; 986 407
42; 290 424; 251 425; 272 458
43; 876 451; 912 464; 906 426
44; 781 476; 782 437; 748 455
45; 800 420; 789 456; 826 448
46; 957 483; 977 450; 939 450
47; 803 481; 840 495; 834 456
48; 581 470; 542 467; 559 503
49; 878 471; 896 507; 918 474
50; 923 470; 927 509; 959 486
51; 118 501; 157 504; 140 468
52; 169 483; 182 518; 206 490
53; 720 506; 759 514; 747 476
54; 740 520; 700 519; 719 554
55; 185 547; 217 535; 191 513
56; 492 543; 532 549; 516 511
57; 813 545; 853 546; 833 511
58; 37 573; 75 581; 63 544
59; 782 581; 821 588; 808 551
60; 744 572; 706 562; 716 600
61; 745 593; 765 629; 786 594
62; 497 593; 504 634; 536 608
63; 350 628; 390 624; 367 591
64; 142 651; 142 610; 106 630
65; 772 640; 732 642; 754 675
66; 485 670; 525 669; 504 635
67; 552 644; 541 684; 581 674
68; 848 686; 889 687; 869 651
69; 581 715; 615 695; 581 675
70; 758 713; 745 676; 719 706
71; 929 694; 889 690; 905 727
72; 63 729; 103 724; 78 692
73; 351 715; 367 751; 390 719
74; 145 727; 105 727; 125 762
75; 599 730; 571 759; 610 768
76; 70 751; 97 780; 109 742
77; 395 767; 356 761; 370 798
78; 391 793; 430 797; 415 761
79; 600 807; 640 798; 612 768
80; 516 809; 556 808; 534 774
81; 357 818; 329 789; 318 827
82; 358 820; 399 826; 383 788
83; 858 820; 885 851; 898 812
84; 595 820; 556 819; 575 853
85; 440 832; 400 828; 416 865
86; 155 860; 195 859; 175 825
87; 284 843; 310 872; 322 835
88; 257 856; 218 847; 229 885
89; 457 879; 497 876; 475 843
90; 789 859; 812 891; 828 855
91; 1027 898; 998 901; 1015 925
92; 810 916; 850 914; 829 880
93; 205 920; 245 924; 228 887
94; 366 941; 371 902; 334 918
95; 287 917; 249 905; 258 944
96; 750 946; 788 930; 755 905
97; 656 922; 619 916; 633 952
98; 329 916; 290 921; 314 953
99; 827 942; 789 931; 798 969
100; 381 964; 421 966; 403 930
101; 104 954; 66 943; 75 982
102; 287 952; 247 960; 273 991
103; 653 1029; 676 1007; 645 998
