0; 804 -7; 799 26; 830 13
1; 698 47; 735 32; 703 8
2; 318 23; 287 47; 323 62
3; 350 65; 383 44; 348 26
4; 217 72; 223 33; 187 47
5; 165 47; 150 83; 189 78
6; 698 57; 673 86; 711 93
7; 239 97; 278 91; 253 60
8; 382 68; 354 93; 390 106
9; 858 112; 895 97; 863 73
10; 1027 97; 996 101; 1015 126
11; 457 84; 426 106; 461 122
12; 399 102; 366 120; 399 139
13; 721 145; 754 124; 719 106
14; 626 159; 654 132; 616 121
15; 120 170; 133 132; 94 140
16; 169 169; 203 149; 169 130
17; 796 133; 780 169; 819 164
18; 147 160; 112 180; 147 200
19; 180 208; 198 176; 162 176
20; 234 209; 260 183; 225 174
21; 255 148; 235 170; 264 176
22; 776 205; 812 191; 781 167
23; 282 173; 259 203; 296 209
24; 497 174; 466 195; 500 212
25; 824 208; 860 199; 835 172
26; 127 188; 102 215; 138 223
27; 395 196; 363 215; 396 233
28; 156 235; 189 214; 155 196
29; 318 241; 323 203; 289 218
30; 1000 204; 967 225; 1001 242
31; 249 203; 242 240; 278 228
32; 616 208; 587 233; 623 246
33; 83 208; 75 247; 112 235
34; 377 269; 406 243; 369 231
35; 658 232; 625 253; 659 271
36; 485 239; 456 265; 493 277
37; 856 286; 888 264; 853 247
38; 608 295; 644 275; 609 255
39; 195 264; 165 290; 202 303
40; 837 270; 804 291; 839 309
41; 371 315; 404 294; 369 276
42; 181 339; 192 302; 154 311
43; 577 362; 597 359; 585 343
44; 602 334; 634 323; 608 301
45; 614 350; 601 285; 552 329
46; 327 308; 304 339; 342 343
47; 390 308; 367 339; 405 343
48; 820 317; 788 338; 822 355
49; 422 358; 457 341; 424 319
50; 148 366; 157 328; 120 339
51; 257 325; 225 348; 261 364
52; 196 376; 231 361; 201 338
53; 330 354; 294 349; 308 383
54; 419 343; 386 364; 420 382
55; 357 352; 328 366; 355 385
56; 641 390; 673 366; 637 351
57; 164 351; 154 390; 193 379
58; 338 417; 365 388; 326 379
59; 437 418; 451 380; 411 387
60; 207 420; 230 389; 191 384
61; 957 387; 926 412; 963 426
62; 379 393; 351 422; 391 432
63; 868 440; 892 408; 852 403
64; 321 409; 286 430; 322 449
65; 423 417; 391 440; 427 457
66; 667 468; 707 462; 682 430
67; 263 476; 299 455; 263 435
68; 921 442; 881 445; 904 479
69; 622 478; 660 462; 627 437
70; 419 490; 457 494; 441 459
71; 319 467; 287 491; 324 506
72; 210 472; 179 499; 218 512
73; 123 482; 82 488; 108 521
74; 452 496; 415 510; 446 535
75; 10 550; 48 531; 12 508
76; 500 520; 465 539; 499 560
77; 631 535; 592 552; 626 577
78; 87 583; 125 568; 93 543
79; 722 545; 691 569; 727 584
80; 485 553; 455 582; 496 593
81; 939 603; 969 576; 931 564
82; 441 566; 414 599; 456 606
83; 423 592; 422 561; 396 578
84; 173 622; 205 613; 181 589
85; 188 583; 206 620; 229 586
86; 488 642; 521 616; 482 601
87; -4 620; 29 633; 24 598
88; 923 638; 881 635; 899 672
89; 875 647; 844 674; 883 687
90; 796 650; 760 671; 796 691
91; 666 660; 632 684; 670 702
92; 735 675; 699 694; 734 715
93; 871 729; 900 701; 861 689
94; 579 696; 542 714; 576 737
95; 106 724; 146 735; 136 694
96; -2 743; 31 738; 10 713
97; 222 765; 266 762; 242 726
98; 612 781; 606 724; 560 757
99; 149 769; 109 790; 147 813
100; 978 785; 935 785; 956 822
101; 970 814; 1012 817; 994 779
102; 918 825; 929 796; 898 801
103; 478 794; 435 801; 462 835
104; 864 851; 903 836; 870 810
105; 929 819; 905 842; 937 851
106; 161 827; 115 832; 143 869
107; 21 880; 64 864; 28 836
108; 612 843; 572 860; 606 886
109; 873 878; 913 892; 905 850
110; 838 870; 796 879; 825 911
111; 180 914; 219 891; 179 869
112; 515 908; 525 939; 547 916
113; 530 918; 530 880; 497 899
114; 595 899; 555 922; 595 945
115; 675 900; 634 919; 670 945
116; 567 943; 521 942; 543 983
117; 755 1026; 786 1013; 759 993
118; 768 980; 793 1020; 815 978
119; 1019 983; 975 972; 987 1016
120; 683 1028; 679 995; 653 1015
