0; 65 31; 92 12; 62 -2
1; 913 -2; 880 17; 913 36
2; 347 -5; 336 28; 370 21
3; 111 30; 72 48; 107 73
4; 111 71; 150 78; 136 40
5; 31 73; 67 89; 63 50
6; 552 97; 591 103; 577 66
7; 267 94; 229 84; 239 122
8; 597 126; 636 119; 610 89
9; 422 119; 455 140; 457 101
10; 343 119; 307 105; 312 144
11; 906 113; 873 137; 911 154
12; 835 155; 872 137; 838 114
13; 370 159; 400 134; 364 120
14; -3 136; 10 170; 32 142
15; 355 131; 323 153; 359 170
16; 526 181; 562 165; 530 142
17; 757 179; 718 170; 729 208
18; 896 184; 860 167; 863 206
19; 465 205; 499 223; 497 184
20; 100 196; 65 214; 98 235
21; 106 235; 142 219; 110 196
22; 866 209; 890 240; 905 205
23; 447 258; 450 219; 415 235
24; 637 251; 613 220; 598 256
25; 501 267; 535 246; 500 228
26; 494 239; 455 233; 469 270
27; 569 228; 555 266; 595 259
28; 330 283; 361 258; 325 244
29; 267 243; 232 261; 265 282
30; 874 264; 908 281; 906 243
31; 196 243; 195 282; 229 264
32; 112 256; 117 289; 143 268
33; 400 291; 396 252; 365 275
34; 1025 274; 995 279; 1015 302
35; 444 266; 417 293; 453 303
36; 873 310; 877 270; 840 287
37; 466 313; 501 299; 471 275
38; 81 318; 111 293; 74 280
39; 308 290; 270 290; 289 323
40; 607 295; 570 288; 583 324
41; 396 301; 362 286; 366 323
42; 861 322; 840 290; 822 325
43; 405 333; 437 313; 404 295
44; 885 326; 924 324; 903 292
45; 653 310; 679 338; 690 301
46; 960 304; 928 327; 964 343
47; 127 332; 90 325; 103 361
48; 639 322; 640 363; 675 342
49; 881 368; 917 381; 910 343
50; 923 362; 931 395; 956 372
51; 918 331; 922 370; 954 348
52; 732 356; 703 382; 740 394
53; 854 403; 884 378; 847 365
54; 148 407; 187 401; 162 370
55; 922 394; 883 383; 894 422
56; 472 384; 465 424; 503 409
57; 628 424; 590 414; 600 452
58; 117 434; 142 465; 156 428
59; 457 465; 493 449; 461 426
60; 87 435; 57 460; 93 474
61; 306 515; 345 526; 334 487
62; 641 584; 643 544; 607 562
63; 308 572; 271 558; 277 597
64; 740 586; 780 592; 766 555
65; 348 623; 352 585; 317 601
66; 773 628; 811 621; 786 591
67; 871 594; 837 617; 874 635
68; 592 624; 557 609; 561 647
69; 386 648; 421 631; 389 609
70; 766 648; 758 609; 728 635
71; 427 628; 454 656; 465 618
72; 829 614; 804 640; 838 649
73; 203 660; 205 622; 171 639
74; 251 623; 226 652; 263 659
75; 810 648; 772 641; 784 677
76; 695 662; 730 678; 727 639
77; 418 684; 449 660; 413 646
78; 189 673; 167 641; 150 677
79; 358 684; 395 668; 362 644
80; 743 681; 783 689; 769 650
81; 389 710; 425 696; 395 672
82; 771 708; 809 715; 796 678
83; 642 737; 676 715; 640 697
84; 518 715; 525 754; 555 729
85; 561 756; 595 734; 559 716
86; 636 736; 599 724; 608 762
87; 286 786; 319 765; 284 747
88; 1005 795; 1021 757; 980 762
89; 489 778; 525 796; 523 756
90; 837 832; 866 859; 875 820
91; 195 861; 231 841; 196 820
92; 85 828; 50 840; 79 864
93; 93 868; 125 845; 89 829
94; 82 864; 50 885; 85 902
95; 336 922; 305 897; 300 936
96; 791 895; 767 928; 807 931
97; 39 913; 4 933; 39 953
98; 765 929; 726 923; 741 960
99; 607 961; 639 939; 605 922
100; 117 967; 153 952; 122 928
101; 802 942; 826 973; 841 937
102; 383 979; 389 1020; 421 994
103; 787 1027; 784 993; 755 1012
