0; 597 1011; 582 1030; 565 1014; 555 1026; 547 1021; 564 1002; 581 1018; 590 1006
1; 780 957; 773 933; 749 939; 745 924; 737 927; 743 950; 766 945; 771 960
2; 338 968; 334 942; 360 937; 356 923; 366 921; 369 946; 344 950; 348 966
3; 661 906; 661 931; 685 931; 685 947; 694 947; 694 922; 670 922; 668 906
4; 934 888; 915 904; 931 922; 918 933; 924 941; 943 924; 927 905; 940 895
5; 520 801; 520 828; 547 828; 547 846; 557 846; 557 819; 530 819; 529 801
6; 397 701; 397 728; 424 728; 424 745; 434 745; 434 719; 407 719; 406 701
7; 282 672; 281 697; 306 699; 304 716; 314 717; 316 691; 290 689; 291 673
8; 809 670; 809 695; 835 695; 835 711; 844 711; 844 686; 818 686; 817 670
9; 876 649; 858 667; 878 684; 868 696; 874 702; 892 682; 872 666; 882 655
10; 717 681; 715 656; 689 658; 688 642; 680 643; 681 668; 707 666; 708 682
11; 150 690; 138 667; 161 656; 154 642; 162 639; 173 661; 151 671; 158 687
12; 577 659; 570 635; 546 641; 542 626; 534 628; 539 653; 564 647; 568 662
13; 936 648; 934 622; 908 625; 907 608; 899 610; 900 635; 926 633; 927 650
14; 775 642; 770 617; 796 613; 792 599; 801 597; 805 621; 781 625; 784 640
15; 841 572; 840 596; 864 598; 863 614; 873 615; 875 590; 849 588; 851 573
16; 234 501; 210 489; 199 513; 184 506; 181 515; 204 527; 215 503; 231 510
17; 752 462; 745 437; 720 443; 715 428; 707 430; 713 455; 738 449; 743 464
18; 160 433; 153 408; 128 414; 123 399; 115 401; 121 426; 146 420; 150 435
19; 73 360; 73 386; 99 386; 99 403; 108 403; 108 377; 82 377; 81 360
20; 1024 378; 1017 353; 992 359; 987 344; 979 346; 985 371; 1010 365; 1014 380
21; 408 338; 383 328; 373 354; 359 348; 355 356; 379 366; 389 340; 404 346
22; 555 333; 530 328; 526 353; 512 350; 510 359; 534 364; 538 339; 553 342
23; 481 231; 481 257; 454 257; 454 274; 444 274; 444 248; 471 248; 472 231
24; 250 236; 243 211; 218 217; 213 202; 205 204; 211 229; 236 223; 240 238
25; 304 192; 280 180; 269 204; 255 197; 251 206; 274 218; 285 194; 301 201
26; 223 199; 219 173; 245 168; 241 154; 251 152; 254 177; 229 181; 233 197
27; 806 148; 788 167; 808 184; 797 197; 804 203; 822 183; 802 166; 813 154
28; 1029 161; 1016 161; 1016 148; 1008 148; 1008 144; 1021 143; 1021 156; 1029 156
29; 67 178; 55 154; 80 143; 72 129; 81 125; 92 148; 69 159; 76 174
30; 904 84; 880 72; 869 96; 855 89; 851 98; 874 110; 885 86; 900 93
31; 808 67; 808 93; 834 93; 834 110; 843 110; 843 84; 817 84; 816 67
32; 868 24; 850 42; 870 59; 859 72; 866 78; 884 58; 864 41; 875 29
33; 1034 32; 1018 19; 1005 34; 996 26; 991 32; 1006 45; 1019 30; 1029 38
